Date,Price
2026-01-02,60.75
2026-01-05,61.7599983215332
2026-01-06,60.70000076293945
2026-01-07,59.959999084472656
2026-01-08,61.9900016784668
2026-01-09,63.34000015258789
2026-01-12,63.869998931884766
2026-01-13,65.47000122070312
2026-01-14,66.5199966430664
2026-01-15,63.7599983215332
2026-01-16,64.12999725341797
2026-01-20,64.91999816894531
2026-01-21,65.23999786376953
2026-01-22,64.05999755859375
2026-01-23,65.87999725341797
2026-01-26,65.58999633789062
2026-01-27,67.56999969482422
2026-01-28,68.4000015258789
2026-01-29,70.70999908447266
2026-01-30,70.69000244140625
2026-02-02,66.30000305175781
2026-02-03,67.33000183105469
2026-02-04,69.45999908447266
2026-02-05,67.55000305175781
2026-02-06,68.05000305175781
2026-02-09,69.04000091552734
2026-02-10,68.80000305175781
2026-02-11,69.4000015258789
2026-02-12,67.5199966430664
2026-02-13,67.75
2026-02-17,67.41999816894531
2026-02-18,70.3499984741211
2026-02-19,71.66000366210938
2026-02-20,71.76000213623047
2026-02-23,71.48999786376953
2026-02-24,70.7699966430664
2026-02-25,70.8499984741211
2026-02-26,70.75
2026-02-27,72.4800033569336
2026-03-02,77.73999786376953
2026-03-03,81.4000015258789
2026-03-04,81.4000015258789
2026-03-05,85.41000366210938
2026-03-06,92.69000244140625
2026-03-09,98.95999908447266
2026-03-10,87.80000305175781
2026-03-11,91.9800033569336
2026-03-12,100.45999908447266
2026-03-13,103.13999938964844
2026-03-16,100.20999908447266
2026-03-17,103.41999816894531
2026-03-18,107.37999725341797
2026-03-19,108.6500015258789
2026-03-20,112.19000244140625
2026-03-23,99.94000244140625
2026-03-24,104.48999786376953
2026-03-25,102.22000122070312
2026-03-26,108.01000213623047
2026-03-27,112.56999969482422
2026-03-30,112.77999877929688
2026-03-31,118.3499984741211
2026-04-01,101.16000366210938
2026-04-02,109.02999877929688
2026-04-06,109.7699966430664
2026-04-07,109.2699966430664
2026-04-08,94.75
2026-04-09,95.91999816894531
2026-04-10,95.19999694824219
2026-04-13,99.36000061035156
2026-04-14,94.79000091552734
2026-04-15,94.93000030517578
2026-04-16,99.38999938964844
2026-04-17,90.37999725341797
2026-04-20,95.4800033569336
2026-04-21,92.70999908447266
